target_id	length	eff_length	est_counts	tpm
BgeEVm013516t1	8473	8313.07	42.6798	2.13432
BgeEVm001398t1	8456	8296.07	66.4997	3.33231
BgeEVm005923t1	8454	8294.07	11.1795	0.560344
BgeEVm006037t3	8452	8292.07	19.6622	0.985753
BgeEVm026728t1	8451	8291.07	27.8039	1.3941
BgeEVm013132t1	3268	3108.07	2314.96	309.636
BgeEVm016716t1	2722	2562.07	0	0
BgeEVm010273t1	8434	8274.07	22.0809	1.10942
BgeEVm001347t1	8425	8265.07	0	0
BgeEVm020077t1	8425	8265.07	22.5814	1.1358
BgeEVm001725t1	8418	8258.07	0	0
BgeEVm023977t1	8405	8245.07	93.5845	4.71855
BgeEVm005389t3	8397	8237.07	39.3767	1.98731
BgeEVm006222t1	8397	8237.07	14	0.706568
BgeEVm002918t1	8390	8230.07	132.314	6.68345
BgeEVm000208t1	8379	8219.07	339.841	17.1891
BgeEVm021994t1	8379	8219.07	23.3877	1.18294
BgeEVm000439t1	8373	8213.07	592.64	29.9974
BgeEVm016657t1	3340	3180.07	4.79871	0.627315
BgeEVm008233t1	8360	8200.07	1.52351	0.0772371
BgeEVm000243t1	8353	8193.07	37.9002	1.92306
BgeEVm000213t1	8342	8182.07	7.13495	0.362515
BgeEVm017395t1	700	540.074	9.93404	7.64665
BgeEVm020909t1	1651	1491.07	24.7435	6.89861
BgeEVm020471t1	8335	8175.07	114.029	5.7986
BgeEVm008669t1	4838	4678.07	144.459	12.8374
BgeEVm017646t1	3294	3134.07	95.3032	12.6415
BgeEVm019581t1	8312	8152.07	305.953	15.6022
BgeEVm001184t1	8308	8148.07	7.55885	0.385656
BgeEVm007981t1	4625	4465.07	23.1141	2.15202
BgeEVm015011t1	8291	8131.07	0	0
BgeEVm000172t1	8289	8129.07	4	0.204559
BgeEVm024921t1	8287	8127.07	36.331	1.85841
BgeEVm003964t1	8276	8116.07	13.9967	0.716932
BgeEVm033195t1	8268	8108.07	2.61442	0.134047
BgeEVm000183t1	8260	8100.07	19.3277	0.991949
BgeEVm026729t1	8259	8099.07	66.3791	3.40718
BgeEVm000928t3	8259	8099.07	13.1837	0.676705
BgeEVm000192t1	8255	8095.07	15	0.770317
BgeEVm017027t1	8248	8088.07	46.8263	2.40682
BgeEVm002896t1	8243	8083.07	9.21977	0.474179
BgeEVm000250t4	8242	8082.07	10.4897	0.539561
BgeEVm020448t1	8228	8068.07	27.7868	1.43175
BgeEVm001848t1	8217	8057.07	6.67114	0.344209
BgeEVm000887t1	8201	8041.07	25.8322	1.33551
BgeEVm006914t2	8199	8039.07	25.352	1.31101
BgeEVm000555t1	8198	8038.07	59.2626	3.06498
BgeEVm018997t1	8179	8019.07	24.5928	1.27492
BgeEVm000284t1	8172	8012.07	21.0201	1.09066
BgeEVm001181t1	8151	7991.07	45.556	2.36995
BgeEVm002404t1	8122	7962.07	22.7278	1.18667
BgeEVm019713t1	8111	7951.07	9.0176	0.471481
BgeEVm001003t1	8108	7948.07	34.5831	1.80884
BgeEVm014974t1	8104	7944.07	2.52025	0.131886
